,open,high,low,close,volume,value
2024-12-01 07:00:00,5142000.0,5147000.0,5123000.0,5147000.0,413.84205051,2124073721.16817
2024-12-01 07:15:00,5145000.0,5154000.0,5129000.0,5151000.0,577.61120228,2970943424.4402
2024-12-01 07:30:00,5151000.0,5156000.0,5133000.0,5146000.0,520.25908335,2677838633.47908
2024-12-01 07:45:00,5146000.0,5149000.0,5132000.0,5146000.0,537.55058157,2763484010.70659
2024-12-01 08:00:00,5145000.0,5180000.0,5144000.0,5161000.0,1375.84983586,7107787196.25657
2024-12-01 08:15:00,5160000.0,5176000.0,5146000.0,5154000.0,672.19280849,3470234899.19046
2024-12-01 08:30:00,5153000.0,5160000.0,5145000.0,5148000.0,559.379249,2880804882.6722
2024-12-01 08:45:00,5148000.0,5148000.0,5130000.0,5133000.0,641.52586471,3296865311.66528
2024-12-01 09:00:00,5132000.0,5172000.0,5131000.0,5172000.0,1365.39854845,7038569881.8111
2024-12-01 09:15:00,5171000.0,5178000.0,5157000.0,5173000.0,1336.86672396,6912432761.02108
2024-12-01 09:30:00,5174000.0,5176000.0,5125000.0,5127000.0,1561.587629,8040481687.46297
2024-12-01 09:45:00,5127000.0,5144000.0,5110000.0,5114000.0,1553.81390008,7965592612.23606
2024-12-01 10:00:00,5111000.0,5122000.0,5090000.0,5108000.0,2141.97088173,10934880236.07404
2024-12-01 10:15:00,5108000.0,5130000.0,5090000.0,5125000.0,1088.67142378,5559943802.87105
2024-12-01 10:30:00,5125000.0,5150000.0,5124000.0,5147000.0,662.00382349,3400664451.31677
2024-12-01 10:45:00,5147000.0,5179000.0,5144000.0,5151000.0,1409.64585549,7283262426.48135
2024-12-01 11:00:00,5152000.0,5168000.0,5140000.0,5147000.0,812.48177903,4185301993.78896
2024-12-01 11:15:00,5145000.0,5152000.0,5131000.0,5146000.0,579.07844403,2978265150.11896
2024-12-01 11:30:00,5144000.0,5148000.0,5099000.0,5101000.0,1536.35941827,7852847025.7166
2024-12-01 11:45:00,5101000.0,5115000.0,5100000.0,5105000.0,538.11820441,2748503534.74221
2024-12-01 12:00:00,5105000.0,5142000.0,5103000.0,5141000.0,484.5941865,2483859945.06708
2024-12-01 12:15:00,5141000.0,5143000.0,5119000.0,5120000.0,463.75960951,2379712172.90805
2024-12-01 12:30:00,5119000.0,5136000.0,5119000.0,5135000.0,321.28367496,1648241536.93274
2024-12-01 12:45:00,5135000.0,5160000.0,5134000.0,5155000.0,1331.51194994,6857429989.00849
2024-12-01 13:00:00,5153000.0,5159000.0,5148000.0,5150000.0,564.33253417,2908468180.89437
2024-12-01 13:15:00,5150000.0,5155000.0,5140000.0,5149000.0,293.30590139,1509693568.34063
2024-12-01 13:30:00,5149000.0,5155000.0,5140000.0,5150000.0,421.98560344,2172156706.36417
2024-12-01 13:45:00,5150000.0,5162000.0,5145000.0,5152000.0,549.51721781,2833392882.73286
2024-12-01 14:00:00,5152000.0,5155000.0,5129000.0,5129000.0,437.35269341,2248034123.10934
2024-12-01 14:15:00,5129000.0,5140000.0,5127000.0,5137000.0,254.85672311,1308016284.18891
2024-12-01 14:30:00,5137000.0,5141000.0,5130000.0,5140000.0,345.19291441,1772557507.14074
2024-12-01 14:45:00,5137000.0,5145000.0,5133000.0,5139000.0,352.02035227,1808838340.4679
2024-12-01 15:00:00,5139000.0,5152000.0,5134000.0,5150000.0,282.02526822,1450177977.17827
2024-12-01 15:15:00,5150000.0,5163000.0,5145000.0,5162000.0,446.2386117,2299580818.26433
2024-12-01 15:30:00,5160000.0,5166000.0,5155000.0,5157000.0,455.52894313,2350816845.95154
2024-12-01 15:45:00,5157000.0,5158000.0,5150000.0,5158000.0,244.13915278,1258271611.00018
2024-12-01 16:00:00,5158000.0,5158000.0,5150000.0,5151000.0,281.30693145,1449472813.5859
2024-12-01 16:15:00,5150000.0,5171000.0,5145000.0,5169000.0,487.45793086,2515413379.30505
2024-12-01 16:30:00,5170000.0,5171000.0,5157000.0,5158000.0,349.93427716,1806843110.39038
2024-12-01 16:45:00,5158000.0,5165000.0,5152000.0,5153000.0,258.92495553,1335647867.27898
2024-12-01 17:00:00,5153000.0,5171000.0,5147000.0,5167000.0,348.74926629,1799333166.58412
2024-12-01 17:15:00,5168000.0,5172000.0,5164000.0,5168000.0,434.69271804,2246235769.35685
2024-12-01 17:30:00,5167000.0,5173000.0,5155000.0,5161000.0,566.72264749,2928419830.51918
2024-12-01 17:45:00,5161000.0,5162000.0,5147000.0,5151000.0,452.43354456,2332550380.6577
2024-12-01 18:00:00,5151000.0,5155000.0,5134000.0,5142000.0,911.12374505,4683862386.60606
2024-12-01 18:15:00,5142000.0,5155000.0,5132000.0,5135000.0,454.34093493,2336161311.72311
2024-12-01 18:30:00,5135000.0,5151000.0,5135000.0,5150000.0,275.30505816,1415913240.41488
2024-12-01 18:45:00,5150000.0,5150000.0,5141000.0,5146000.0,144.9657913,745899175.28741
2024-12-01 19:00:00,5148000.0,5149000.0,5133000.0,5136000.0,387.89151142,1993497324.39059
2024-12-01 19:15:00,5136000.0,5139000.0,5130000.0,5134000.0,285.04272463,1463319955.23889
2024-12-01 19:30:00,5134000.0,5135000.0,5117000.0,5126000.0,754.66361859,3866443388.08966
2024-12-01 19:45:00,5125000.0,5129000.0,5120000.0,5120000.0,316.14780036,1620061808.71379
2024-12-01 20:00:00,5120000.0,5133000.0,5120000.0,5129000.0,451.07170772,2313058716.33563
2024-12-01 20:15:00,5129000.0,5145000.0,5120000.0,5142000.0,516.01098389,2648625578.9698
2024-12-01 20:30:00,5142000.0,5145000.0,5134000.0,5141000.0,340.02043385,1747711247.7403
2024-12-01 20:45:00,5140000.0,5141000.0,5124000.0,5140000.0,536.07237614,2751413348.57656
2024-12-01 21:00:00,5134000.0,5138000.0,5126000.0,5130000.0,424.55460294,2178226414.29739
2024-12-01 21:15:00,5127000.0,5131000.0,5120000.0,5125000.0,412.62254811,2114588364.02849
2024-12-01 21:30:00,5125000.0,5131000.0,5123000.0,5130000.0,356.70379235,1828374978.28948
2024-12-01 21:45:00,5130000.0,5131000.0,5123000.0,5124000.0,269.46682796,1381721396.79117
2024-12-01 22:00:00,5128000.0,5145000.0,5124000.0,5145000.0,426.7518649,2191399780.6105
2024-12-01 22:15:00,5142000.0,5149000.0,5138000.0,5142000.0,637.62804335,3280427563.46087
2024-12-01 22:30:00,5143000.0,5159000.0,5136000.0,5157000.0,792.7228356,4081441786.3424
2024-12-01 22:45:00,5157000.0,5158000.0,5138000.0,5142000.0,629.58564169,3241859954.99541
2024-12-01 23:00:00,5142000.0,5158000.0,5138000.0,5154000.0,555.76141271,2861465622.26089
2024-12-01 23:15:00,5153000.0,5155000.0,5147000.0,5149000.0,355.13743977,1829281124.83896
2024-12-01 23:30:00,5147000.0,5155000.0,5141000.0,5153000.0,436.68452399,2247640178.50047
2024-12-01 23:45:00,5153000.0,5156000.0,5145000.0,5145000.0,321.8295321,1657530984.41199
2024-12-02 00:00:00,5145000.0,5157000.0,5139000.0,5156000.0,363.32533636,1870225668.32962
2024-12-02 00:15:00,5156000.0,5174000.0,5152000.0,5170000.0,866.49427273,4474933133.74709
2024-12-02 00:30:00,5170000.0,5197000.0,5167000.0,5181000.0,2043.4754133,10598203056.1985
2024-12-02 00:45:00,5181000.0,5195000.0,5165000.0,5171000.0,680.36477225,3522275385.93597
2024-12-02 01:00:00,5171000.0,5185000.0,5162000.0,5171000.0,419.0989205,2168288007.61513
