,open,high,low,close,volume,value
2024-04-01 09:00:00,100991000.0,101098000.0,98658000.0,100100000.0,4739.72230488,472761515355.0921
2024-04-02 09:00:00,100100000.0,100100000.0,95000000.0,96053000.0,8066.15019928,780975960649.7177
2024-04-03 09:00:00,96053000.0,97300000.0,94682000.0,96502000.0,4274.27113577,411426554028.0002
2024-04-04 09:00:00,96502000.0,99912000.0,95598000.0,99361000.0,4377.11634387,427159595437.90393
2024-04-05 09:00:00,99445000.0,99669000.0,96800000.0,98394000.0,3533.18774879,346785702174.4224
2024-04-06 09:00:00,98385000.0,99888000.0,97745000.0,99023000.0,1885.55868844,185840192041.35562
2024-04-07 09:00:00,99000000.0,100450000.0,98976000.0,99369000.0,2132.30263827,212381001693.2222
2024-04-08 09:00:00,99369000.0,103084000.0,99100000.0,102101000.0,5621.6941615,571091810718.5997
2024-04-09 09:00:00,102050000.0,102399000.0,98400000.0,99350000.0,4778.27379895,478845250480.8743
2024-04-10 09:00:00,99409000.0,101750000.0,97614000.0,100600000.0,4307.83087037,427447865181.8295
2024-04-11 09:00:00,100601000.0,101452000.0,100031000.0,100541000.0,3026.45443123,304817123210.9132
2024-04-12 09:00:00,100542000.0,101426000.0,98985000.0,99776000.0,5005.55856794,501138671632.28973
2024-04-13 09:00:00,99645000.0,100569000.0,95000000.0,97149000.0,9545.1942808,935752426506.9319
2024-04-14 09:00:00,97093000.0,99180000.0,95224000.0,98905000.0,6601.79791673,640496163193.9851
2024-04-15 09:00:00,98931000.0,99490000.0,95702000.0,96527000.0,5860.57730753,572334441333.4099
2024-04-16 09:00:00,96530000.0,96941000.0,93500000.0,95597000.0,6058.36670549,575142167083.7314
2024-04-17 09:00:00,95597000.0,96500000.0,90200000.0,91419000.0,7117.39044578,660323082104.5907
2024-04-18 09:00:00,91439000.0,94200000.0,90000000.0,93356000.0,5793.82700325,533379890524.8668
2024-04-19 09:00:00,93392000.0,95958000.0,88500000.0,93390000.0,8931.11165293,826226752319.6167
2024-04-20 09:00:00,93390000.0,95600000.0,92615000.0,94805000.0,2666.36468567,250942877130.00293
2024-04-21 09:00:00,94840000.0,95989000.0,94312000.0,94868000.0,2369.21252418,225327547192.15237
2024-04-22 09:00:00,94911000.0,97627000.0,94622000.0,97192000.0,3221.84889236,309448245996.401
2024-04-23 09:00:00,97239000.0,97592000.0,95246000.0,96045000.0,3179.44418004,305907337794.1537
2024-04-24 09:00:00,96071000.0,96627000.0,92734000.0,93534000.0,3593.11116027,340438754437.031
2024-04-25 09:00:00,93520000.0,94319000.0,91213000.0,92745000.0,3762.56315286,348460853187.8564
2024-04-26 09:00:00,92761000.0,93000000.0,91465000.0,91951000.0,2016.93752002,186024518912.63318
2024-04-27 09:00:00,91955000.0,92175000.0,90292000.0,91499000.0,2455.80711714,223315339244.9676
2024-04-28 09:00:00,91499000.0,92630000.0,90153000.0,90530000.0,1861.37990104,169995089305.7691
2024-04-29 09:00:00,90533000.0,92000000.0,88500000.0,91400000.0,4650.34162208,417019267508.9052
