,open,high,low,close,volume,value
2024-08-01 09:00:00,4517000.0,4537000.0,4351000.0,4500000.0,22863.74612233,101748343532.18732
2024-08-02 09:00:00,4500000.0,4521000.0,4192000.0,4213000.0,25758.2783992,111522674457.72092
2024-08-03 09:00:00,4213000.0,4248000.0,4060000.0,4110000.0,24088.61427559,100121030942.86938
2024-08-04 09:00:00,4111000.0,4140000.0,3781000.0,3790000.0,35345.57199199,139733175899.61078
2024-08-05 09:00:00,3790000.0,3812000.0,3162000.0,3483000.0,209059.78437835,707815074376.8756
2024-08-06 09:00:00,3485000.0,3719000.0,3450000.0,3526000.0,63843.90206178,229074628532.84708
2024-08-07 09:00:00,3525000.0,3620000.0,3300000.0,3338000.0,62637.5096902,217067413590.7039
2024-08-08 09:00:00,3338000.0,3818000.0,3301000.0,3757000.0,66896.54790791,237186068166.68304
2024-08-09 09:00:00,3757000.0,3803000.0,3600000.0,3654000.0,45674.66493233,169800846408.80627
2024-08-10 09:00:00,3655000.0,3721000.0,3634000.0,3669000.0,14996.39495676,55139856193.57484
2024-08-11 09:00:00,3670000.0,3802000.0,3578000.0,3601000.0,27693.30377307,102218246609.68507
2024-08-12 09:00:00,3601000.0,3851000.0,3526000.0,3817000.0,47047.06375201,173918990486.20743
2024-08-13 09:00:00,3817000.0,3833000.0,3665000.0,3774000.0,31402.59148145,117648212565.40073
2024-08-14 09:00:00,3776000.0,3880000.0,3687000.0,3732000.0,31024.18634867,117163216298.62173
2024-08-15 09:00:00,3732000.0,3748000.0,3554000.0,3616000.0,26660.40354577,97806497796.17358
2024-08-16 09:00:00,3616000.0,3674000.0,3583000.0,3623000.0,16427.07077551,59577005194.34091
2024-08-17 09:00:00,3624000.0,3659000.0,3612000.0,3638000.0,6040.62477411,21923926060.66072
2024-08-18 09:00:00,3638000.0,3730000.0,3618000.0,3640000.0,11637.14391624,42772483660.33981
2024-08-19 09:00:00,3638000.0,3672000.0,3537000.0,3620000.0,19155.47885333,68903537879.42747
2024-08-20 09:00:00,3620000.0,3664000.0,3502000.0,3522000.0,24665.63748092,88482469871.42484
2024-08-21 09:00:00,3522000.0,3606000.0,3475000.0,3564000.0,17055.74817855,60368708028.79046
2024-08-22 09:00:00,3564000.0,3579000.0,3515000.0,3557000.0,11272.60438165,40057078245.7567
2024-08-23 09:00:00,3558000.0,3739000.0,3554000.0,3690000.0,23079.4896545,83946668014.73335
2024-08-24 09:00:00,3690000.0,3758000.0,3667000.0,3701000.0,19509.04801722,72228176077.47653
2024-08-25 09:00:00,3701000.0,3735000.0,3662000.0,3689000.0,13184.09937805,48711673350.25593
2024-08-26 09:00:00,3690000.0,3701000.0,3590000.0,3605000.0,14360.43533042,52388851981.38471
2024-08-27 09:00:00,3606000.0,3619000.0,3312000.0,3346000.0,40415.42698563,139654557253.23016
2024-08-28 09:00:00,3347000.0,3485000.0,3300000.0,3445000.0,33287.94799445,112639950873.39107
2024-08-29 09:00:00,3444000.0,3511000.0,3411000.0,3437000.0,15008.10389037,51906444974.222
2024-08-30 09:00:00,3437000.0,3465000.0,3334000.0,3435000.0,14911.40895858,50764583696.0494
