,open,high,low,close,volume,value
2024-07-01 09:00:00,4821000.0,4948000.0,4808000.0,4835000.0,13062.43303048,63726649101.19514
2024-07-02 09:00:00,4835000.0,4867000.0,4777000.0,4811000.0,8116.49859659,39166856913.89802
2024-07-03 09:00:00,4811000.0,4826000.0,4627000.0,4672000.0,15381.79799769,72374415859.46214
2024-07-04 09:00:00,4673000.0,4696000.0,4370000.0,4379000.0,27350.47368514,123292891965.39285
2024-07-05 09:00:00,4379000.0,4470000.0,4058000.0,4266000.0,54320.25098026,229135043602.49792
2024-07-06 09:00:00,4270000.0,4384000.0,4205000.0,4365000.0,16840.01916105,72343231944.79562
2024-07-07 09:00:00,4367000.0,4373000.0,4151000.0,4164000.0,14286.49375127,60893159180.67498
2024-07-08 09:00:00,4167000.0,4397000.0,4050000.0,4290000.0,29118.59168736,123089222444.99115
2024-07-09 09:00:00,4290000.0,4401000.0,4267000.0,4336000.0,17246.36563577,74890400997.43117
2024-07-10 09:00:00,4335000.0,4461000.0,4297000.0,4397000.0,15470.04317181,67747775692.84169
2024-07-11 09:00:00,4397000.0,4530000.0,4336000.0,4381000.0,18453.49877196,81698884814.75555
2024-07-12 09:00:00,4382000.0,4444000.0,4318000.0,4413000.0,13081.55017339,57185122664.6878
2024-07-13 09:00:00,4414000.0,4485000.0,4383000.0,4450000.0,9560.11424826,42347876027.69968
2024-07-14 09:00:00,4450000.0,4595000.0,4440000.0,4557000.0,14424.35579172,64918966753.16691
2024-07-15 09:00:00,4557000.0,4911000.0,4548000.0,4900000.0,25924.20998981,122624019953.45682
2024-07-16 09:00:00,4900000.0,4927000.0,4681000.0,4809000.0,36014.81626314,173156616107.05838
2024-07-17 09:00:00,4810000.0,4900000.0,4719000.0,4730000.0,23618.60327732,114050720437.09503
2024-07-18 09:00:00,4730000.0,4890000.0,4720000.0,4811000.0,19001.4084744,91243495325.70834
2024-07-19 09:00:00,4811000.0,4939000.0,4737000.0,4888000.0,26682.94953578,128835068971.6963
2024-07-20 09:00:00,4888000.0,4954000.0,4864000.0,4928000.0,13048.62329511,64031055342.88903
2024-07-21 09:00:00,4928000.0,4943000.0,4800000.0,4932000.0,17578.67977648,86234029591.3293
2024-07-22 09:00:00,4932000.0,4968000.0,4790000.0,4808000.0,20954.67495221,102016832302.58246
2024-07-23 09:00:00,4808000.0,4960000.0,4770000.0,4870000.0,36754.29343537,178982050682.70685
2024-07-24 09:00:00,4870000.0,4883000.0,4632000.0,4674000.0,25375.65302735,121024762904.98196
2024-07-25 09:00:00,4675000.0,4679000.0,4350000.0,4463000.0,48005.1759814,214357082726.9975
2024-07-26 09:00:00,4464000.0,4587000.0,4458000.0,4571000.0,23329.72368025,105874831308.51556
2024-07-27 09:00:00,4571000.0,4645000.0,4466000.0,4515000.0,24830.19541085,113413811635.52718
2024-07-28 09:00:00,4515000.0,4587000.0,4471000.0,4569000.0,12324.30551991,55894508810.55171
2024-07-29 09:00:00,4569000.0,4723000.0,4559000.0,4641000.0,25974.61606615,120720133780.07263
2024-07-30 09:00:00,4642000.0,4697000.0,4544000.0,4597000.0,16872.56665312,78296493759.69182
