,open,high,low,close,volume,value
2024-05-01 00:00:00,4344000.0,4357000.0,4297000.0,4312000.0,1172.14457713,5058026009.69597
2024-05-01 01:00:00,4313000.0,4322000.0,4270000.0,4306000.0,1461.33269643,6275212075.23181
2024-05-01 02:00:00,4306000.0,4322000.0,4289000.0,4300000.0,896.96378745,3860108710.71581
2024-05-01 03:00:00,4300000.0,4309000.0,4260000.0,4277000.0,853.65898468,3652227160.42007
2024-05-01 04:00:00,4280000.0,4295000.0,4221000.0,4232000.0,1622.22474747,6887615388.23359
2024-05-01 05:00:00,4235000.0,4298000.0,4224000.0,4271000.0,883.23187298,3772915642.15556
2024-05-01 06:00:00,4275000.0,4325000.0,4271000.0,4311000.0,986.99651311,4245773646.26621
2024-05-01 07:00:00,4311000.0,4362000.0,4305000.0,4328000.0,1148.72117189,4979449894.99465
2024-05-01 08:00:00,4328000.0,4347000.0,4305000.0,4327000.0,929.22703598,4017765646.27833
2024-05-01 09:00:00,4327000.0,4351000.0,4250000.0,4251000.0,2874.42263629,12325978584.80457
2024-05-01 10:00:00,4257000.0,4276000.0,4207000.0,4250000.0,3391.11377295,14374808957.77174
2024-05-01 11:00:00,4250000.0,4254000.0,4185000.0,4213000.0,2833.80813643,11920328464.73628
2024-05-01 12:00:00,4213000.0,4259000.0,4210000.0,4255000.0,978.71360838,4145009968.36169
2024-05-01 13:00:00,4254000.0,4262000.0,4230000.0,4240000.0,710.28265797,3015432177.67998
2024-05-01 14:00:00,4239000.0,4250000.0,4209000.0,4221000.0,739.78872127,3126383781.04242
2024-05-01 15:00:00,4222000.0,4224000.0,4147000.0,4149000.0,2176.36741664,9091484337.42707
2024-05-01 16:00:00,4150000.0,4155000.0,4050000.0,4054000.0,9548.88988933,39034280990.75891
2024-05-01 17:00:00,4054000.0,4074000.0,3980000.0,4071000.0,7259.79382438,29215592147.30962
2024-05-01 18:00:00,4071000.0,4110000.0,4058000.0,4088000.0,2493.47274551,10200701816.49539
2024-05-01 19:00:00,4089000.0,4115000.0,4055000.0,4112000.0,1497.59059251,6121473428.29279
2024-05-01 20:00:00,4112000.0,4150000.0,4098000.0,4150000.0,1667.85504022,6870250350.41302
2024-05-01 21:00:00,4150000.0,4198000.0,4131000.0,4151000.0,2383.27740815,9934678019.93957
2024-05-01 22:00:00,4150000.0,4154000.0,4091000.0,4105000.0,1457.17368174,6004809347.09916
2024-05-01 23:00:00,4109000.0,4144000.0,4101000.0,4132000.0,855.7017733,3524238308.61144
2024-05-02 00:00:00,4132000.0,4135000.0,4082000.0,4100000.0,1080.6942054,4435347517.55186
